Wall time,Step,Value
1751478523.8678784,0,0.0
1751478648.7220094,1,0.0
1751478743.204188,2,0.0
1751478854.427846,3,0.01600000075995922
1751478949.9120412,4,0.01600000075995922
1751479015.5530875,5,0.007000000216066837
1751479079.1730974,6,0.01600000075995922
1751479141.4864683,7,0.003000000026077032
1751479209.191251,8,0.004000000189989805
1751479274.6774678,9,0.01600000075995922
1751479351.4714942,10,0.006000000052154064
1751479443.4930696,11,0.014999999664723873
1751479526.76675,12,0.014000000432133675
1751479616.263189,13,0.013000000268220901
1751479704.66582,14,0.013000000268220901
1751479787.3302276,15,0.012000000104308128
1751479866.6682131,16,0.00800000037997961
1751479942.5934017,17,0.006000000052154064
1751480010.8251774,18,0.004999999888241291
1751480084.4109423,19,0.00800000037997961
1751480160.4558856,20,0.012000000104308128
1751480237.9672012,21,0.013000000268220901
1751480312.469478,22,0.013000000268220901
1751480404.2166371,23,0.014000000432133675
1751480504.3079674,24,0.014000000432133675
1751480600.786006,25,0.014000000432133675
1751480705.8972092,26,0.014999999664723873
1751480810.227446,27,0.014999999664723873
1751480921.093393,28,0.014999999664723873
1751481032.170334,29,0.01600000075995922
1751481147.5405643,30,0.017000000923871994
1751481258.5965147,31,0.013000000268220901
1751481364.435585,32,0.017000000923871994
1751481472.3750584,33,0.017000000923871994
1751481582.215279,34,0.017000000923871994
1751485607.368178,35,0.01600000075995922
1751485716.1624494,36,0.01600000075995922
1751485825.3007886,37,0.01600000075995922
1751485933.0228431,38,0.01600000075995922
1751486043.8508797,39,0.01600000075995922
1751486153.115992,40,0.01600000075995922
1751486262.8940678,41,0.01600000075995922
1751486371.7195146,42,0.01600000075995922
1751486482.0704,43,0.01600000075995922
1751486592.430787,44,0.017000000923871994
1751486703.029198,45,0.01600000075995922
1751486810.7233782,46,0.01600000075995922
1751486920.1196904,47,0.01600000075995922
1751487029.008914,48,0.01600000075995922
1751487143.1158938,49,0.01600000075995922
1751487256.5631888,50,0.01600000075995922
1751487366.9994633,51,0.01600000075995922
1751487477.4687672,52,0.01600000075995922
1751487590.0629754,53,0.01600000075995922
1751487701.814927,54,0.01600000075995922
1751487811.7038622,55,0.01600000075995922
1751487921.7529967,56,0.01600000075995922
1751488035.522719,57,0.01600000075995922
1751488146.8819795,58,0.01600000075995922
1751488261.4730082,59,0.01600000075995922
1751488379.7348082,60,0.01600000075995922
1751488497.5050638,61,0.01600000075995922
1751488609.0545137,62,0.01600000075995922
1751488738.7529428,63,0.01600000075995922
1751488849.7471101,64,0.01600000075995922
1751488964.0115924,65,0.01600000075995922
1751489080.5620193,66,0.01600000075995922
1751489194.2859921,67,0.01600000075995922
1751489307.105167,68,0.01600000075995922
1751489421.0108998,69,0.01600000075995922
1751489537.1800952,70,0.01600000075995922
1751489651.4048197,71,0.01600000075995922
1751489768.6880925,72,0.01600000075995922
1751489886.4793642,73,0.01600000075995922
1751490008.3109083,74,0.01600000075995922
1751490140.273018,75,0.017000000923871994
1751490279.4107106,76,0.01600000075995922
1751490410.6147764,77,0.01600000075995922
1751490563.0045269,78,0.017000000923871994
1751490684.9927225,79,0.01600000075995922
1751490808.7659602,80,0.01600000075995922
1751490943.034086,81,0.01600000075995922
1751491083.212731,82,0.01600000075995922
1751491221.175547,83,0.01600000075995922
1751491415.5232441,84,0.017000000923871994
1751491581.0719018,85,0.017000000923871994
1751491777.9996595,86,0.017000000923871994
1751491926.0755875,87,0.017000000923871994
1751492109.774431,88,0.017000000923871994
1751492234.7290897,89,0.017000000923871994
1751492372.9208095,90,0.017000000923871994
1751492564.7652764,91,0.03799999877810478
1751492764.383637,92,0.017000000923871994
1751492926.365196,93,0.017999999225139618
1751493128.2308292,94,0.03799999877810478
1751493306.8409646,95,0.017999999225139618
1751493502.65667,96,0.03700000047683716
1751493675.5127673,97,0.03700000047683716
1751493844.3770483,98,0.03700000047683716
1751493982.6102235,99,0.014000000432133675
1751494118.940377,100,0.014999999664723873
1751494231.769201,101,0.014000000432133675
1751494357.7448769,102,0.03700000047683716
