Wall time,Step,Value
1751410040.460347,0,0.0
1751410203.008377,1,0.0
1751410293.7988174,2,0.0
1751410441.8053358,3,0.0140000004321336
1751410573.6051676,4,0.0140000004321336
1751410671.8059893,5,0.0149999996647238
1751410743.6940284,6,0.0149999996647238
1751410828.8463342,7,0.0140000004321336
1751410915.4437723,8,0.0149999996647238
1751410986.0694463,9,0.003000000026077
1751411047.7356136,10,0.003000000026077
1751411109.5008612,11,0.003000000026077
1751411166.0698638,12,0.003000000026077
1751411232.3472412,13,0.006000000052154
1751411297.2158098,14,0.003000000026077
1751411360.6667054,15,0.0149999996647238
1751411455.4876597,16,0.0130000002682209
1751411552.631376,17,0.0130000002682209
1751411648.659916,18,0.0140000004321336
1751411741.3604786,19,0.0130000002682209
1751411832.5271616,20,0.0130000002682209
1751411928.4786136,21,0.0149999996647238
1751412020.4642832,22,0.0130000002682209
1751412133.2492197,23,0.0170000009238719
1751412253.116695,24,0.0170000009238719
1751412389.769692,25,0.0370000004768371
1751412648.720274,26,0.0710000023245811
1751412844.2351122,27,0.0170000009238719
1751413052.6716585,28,0.0439999997615814
1751413180.0206504,29,0.0160000007599592
1751413306.7074716,30,0.0439999997615814
1751413469.2639542,31,0.0140000004321336
1751413630.352609,32,0.0370000004768371
1751413859.3661478,33,0.0399999991059303
1751414088.0267763,34,0.0700000002980232
1751414280.5339117,35,0.0680000036954879
1751418200.378106,36,0.0689999982714653
1751418392.8844995,37,0.0700000002980232
1751418641.062714,38,0.0689999982714653
1751418850.5240903,39,0.0700000002980232
1751419132.5115428,40,0.0689999982714653
1751419412.5177524,41,0.0700000002980232
1751419676.065159,42,0.0700000002980232
