Wall time,Step,Value
1751410040.460347,0,0.0
1751410203.008377,1,0.0
1751410293.7988174,2,0.0
1751410441.8053358,3,0.014000000432133675
1751410573.6051676,4,0.014000000432133675
1751410671.8059893,5,0.014999999664723873
1751410743.6940284,6,0.014999999664723873
1751410828.8463342,7,0.014000000432133675
1751410915.4437723,8,0.014999999664723873
1751410986.0694463,9,0.003000000026077032
1751411047.7356136,10,0.003000000026077032
1751411109.5008612,11,0.003000000026077032
1751411166.0698638,12,0.003000000026077032
1751411232.3472412,13,0.006000000052154064
1751411297.2158098,14,0.003000000026077032
1751411360.6667054,15,0.014999999664723873
1751411455.4876597,16,0.013000000268220901
1751411552.631376,17,0.013000000268220901
1751411648.659916,18,0.014000000432133675
1751411741.3604786,19,0.013000000268220901
1751411832.5271616,20,0.013000000268220901
1751411928.4786136,21,0.014999999664723873
1751412020.4642832,22,0.013000000268220901
1751412133.2492197,23,0.017000000923871994
1751412253.116695,24,0.017000000923871994
1751412389.769692,25,0.03700000047683716
1751412648.720274,26,0.07100000232458115
1751412844.2351122,27,0.017000000923871994
1751413052.6716585,28,0.04399999976158142
1751413180.0206504,29,0.01600000075995922
1751413306.7074716,30,0.04399999976158142
1751413469.2639542,31,0.014000000432133675
1751413630.352609,32,0.03700000047683716
1751413859.3661478,33,0.03999999910593033
1751414088.0267763,34,0.07000000029802322
1751414280.5339117,35,0.06800000369548798
1751414517.839328,36,0.014999999664723873
1751414694.108426,37,0.0
1751414784.400278,38,0.0
1751414877.0277467,39,0.0
1751415004.421119,40,0.014999999664723873
1751415084.6639776,41,0.014999999664723873
1751415162.9227164,42,0.014000000432133675
1751415255.6521456,43,0.014999999664723873
1751415327.4628427,44,0.014999999664723873
1751415417.321397,45,0.014999999664723873
1751415513.338149,46,0.014999999664723873
1751415608.831211,47,0.014000000432133675
1751415705.8511634,48,0.014000000432133675
1751415797.2396307,49,0.014000000432133675
1751415886.1146321,50,0.013000000268220901
1751415959.7688787,51,0.012000000104308128
1751416042.5731666,52,0.006000000052154064
1751416116.7964945,53,0.013000000268220901
1751416212.4833121,54,0.014000000432133675
1751416311.4338076,55,0.014999999664723873
1751416418.1212852,56,0.014999999664723873
1751416527.3370798,57,0.01600000075995922
1751416643.8856246,58,0.017999999225139618
1751416783.8921058,59,0.017999999225139618
1751416923.419332,60,0.013000000268220901
1751417053.539118,61,0.017000000923871994
1751417209.398832,62,0.017999999225139618
1751417330.6771362,63,0.017999999225139618
1751417512.8578522,64,0.017999999225139618
1751417721.0524929,65,0.03799999877810478
1751417914.9265664,66,0.03700000047683716
1751418200.378106,67,0.0689999982714653
1751418392.8844995,68,0.07000000029802322
1751418641.062714,69,0.0689999982714653
1751418850.5240905,70,0.07000000029802322
1751419132.5115428,71,0.0689999982714653
1751419412.5177524,72,0.07000000029802322
1751419676.0651593,73,0.07000000029802322
